TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Hour,DayOfWeek,TimeSincePrevTxn_Hours,AccountTxnFrequency,AmountToBalanceRatio,UniqueDevicesPerAccount,UniqueLocationsPerAccount,IsFraud,FraudLabel,RiskSegment
TX000977,AC00007,466.64,2023-09-04 16:57:00,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,2024-11-04 08:09:00,16,Monday,10239.2,5,0.04274782866790459,5,5,0,Legitimate,Low Risk
TX001336,AC00007,90.88,2023-11-20 17:08:00,Debit,Colorado Springs,D000086,175.210.47.87,M071,ATM,26,Engineer,284,1,7117.35,2024-11-04 08:10:00,17,Monday,8391.033333333333,5,0.012767003589314938,5,5,0,Legitimate,Low Risk
TX001579,AC00007,137.48,2023-11-27 17:34:00,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,2024-11-04 08:08:00,17,Monday,8222.566666666668,5,0.009631214438134788,5,5,0,Legitimate,Low Risk
TX002005,AC00008,76.16,2023-11-21 16:45:00,Debit,San Francisco,D000539,100.128.70.210,M060,ATM,23,Student,99,1,1072.25,2024-11-04 08:12:00,16,Tuesday,8367.45,1,0.07096203121360353,1,1,0,Legitimate,Low Risk
TX002512,AC00009,243.08,2023-02-14 16:21:00,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1,131.25,2024-11-04 08:07:00,16,Tuesday,15087.766666666666,5,1.8380340264650286,4,5,0,Legitimate,Medium Risk
TX002048,AC00009,425.18,2023-02-20 16:16:00,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1,5790.55,2024-11-04 08:11:00,16,Monday,14943.916666666666,5,0.07341385294092255,4,5,0,Legitimate,Low Risk
TX000868,AC00009,87.38,2023-03-03 18:23:00,Debit,Atlanta,D000356,3.200.166.167,M054,Branch,21,Student,252,1,1504.99,2024-11-04 08:09:00,18,Friday,14677.766666666666,5,0.05802163360978492,4,5,0,Legitimate,Low Risk
TX000840,AC00009,153.59,2023-05-04 17:43:00,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,2024-11-04 08:09:00,17,Thursday,13190.433333333332,5,0.031904065540534925,4,5,0,Legitimate,Low Risk
TX000279,AC00009,74.85,2023-12-25 17:19:00,Debit,Raleigh,D000526,191.82.103.198,M091,ATM,72,Retired,117,1,2409.73,2024-11-04 08:11:00,17,Monday,7550.866666666667,5,0.03104868649745098,4,5,0,Legitimate,Low Risk
TX002367,AC00010,281.91,2023-01-12 17:10:00,Debit,Denver,D000312,24.148.92.177,M069,Branch,25,Student,269,1,225.53,2024-11-04 08:07:00,17,Thursday,15878.95,7,1.2444709310025164,7,7,0,Legitimate,Medium Risk
TX001737,AC00010,7.56,2023-02-06 16:38:00,Debit,Milwaukee,D000358,205.45.234.42,M070,ATM,40,Doctor,145,1,8528.72,2024-11-04 08:07:00,16,Monday,15279.483333333334,7,0.000886312798075435,7,7,0,Legitimate,Low Risk
TX001760,AC00010,1086.6,2023-05-22 17:40:00,Debit,San Diego,D000428,74.58.165.67,M016,Online,19,Student,38,1,1605.67,2024-11-04 08:10:00,17,Monday,12758.5,7,0.6763056508181517,7,7,1,Fraud,High Risk (Flagged)
TX001168,AC00010,838.57,2023-06-26 16:08:00,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,2024-11-04 08:11:00,16,Monday,11920.05,7,0.05752507122292141,7,7,0,Legitimate,Low Risk
TX000096,AC00010,508.68,2023-06-26 16:16:00,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:00,16,Monday,11919.883333333333,7,0.06598170287998693,7,7,0,Legitimate,Low Risk
TX000180,AC00010,34.17,2023-11-21 16:57:00,Credit,Philadelphia,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,2024-11-04 08:06:00,16,Tuesday,8367.15,7,0.04696584427187135,7,7,0,Legitimate,Low Risk
TX000202,AC00010,11.18,2023-11-30 16:52:00,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2024-11-04 08:10:00,16,Thursday,8151.3,7,0.001876503258704004,7,7,0,Legitimate,Low Risk
TX000694,AC00011,733.29,2023-03-15 18:42:00,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,2024-11-04 08:07:00,18,Wednesday,14389.416666666666,7,0.070319332566168,7,5,0,Legitimate,Medium Risk
TX000735,AC00011,117.55,2023-05-19 16:35:00,Debit,Fresno,D000088,4.101.189.38,M046,ATM,24,Student,35,1,897.94,2024-11-04 08:11:00,16,Friday,12831.6,7,0.13076512336752175,7,5,0,Legitimate,Low Risk
TX001015,AC00011,688.36,2023-06-30 16:31:00,Credit,Memphis,D000235,200.136.146.93,M007,Branch,23,Student,22,1,5191.13,2024-11-04 08:11:00,16,Friday,11823.666666666666,7,0.1325775741362408,7,5,0,Legitimate,Low Risk
TX000098,AC00011,25.36,2023-07-17 17:08:00,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:00,17,Monday,11415.05,7,0.1255196990694912,7,5,0,Legitimate,Low Risk
TX000045,AC00011,304.31,2023-07-26 16:52:00,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,2024-11-04 08:09:00,16,Wednesday,11199.283333333333,7,0.3499384781683743,7,5,0,Legitimate,Medium Risk
TX002023,AC00011,537.86,2023-09-19 16:44:00,Debit,Kansas City,D000159,144.228.168.6,M001,Online,27,Student,134,1,293.06,2024-11-04 08:09:00,16,Tuesday,9879.416666666666,7,1.8290825001700333,7,5,0,Legitimate,Medium Risk
TX001560,AC00011,31.53,2023-12-20 17:15:00,Debit,Kansas City,D000328,37.143.57.20,M095,Online,25,Student,283,1,874.93,2024-11-04 08:06:00,17,Wednesday,7670.85,7,0.03599602707978949,7,5,0,Legitimate,Low Risk
TX002047,AC00012,94.82,2023-03-21 16:36:00,Credit,Columbus,D000123,175.230.206.232,M011,Branch,67,Retired,56,1,1267.72,2024-11-04 08:12:00,16,Tuesday,14247.6,6,0.07473674254366605,6,6,0,Legitimate,Low Risk
TX000513,AC00012,8.65,2023-06-05 17:08:00,Debit,Las Vegas,D000309,200.136.146.93,M037,Online,48,Doctor,273,1,10778.35,2024-11-04 08:09:00,17,Monday,12423.016666666666,6,0.0008024602596631523,6,6,0,Legitimate,Low Risk
TX001153,AC00012,590.57,2023-06-28 16:07:00,Debit,Milwaukee,D000540,150.231.20.169,M050,ATM,79,Retired,93,1,3224.6,2024-11-04 08:07:00,16,Wednesday,11872.0,6,0.18308841765873018,6,6,0,Legitimate,Medium Risk
TX000728,AC00012,137.49,2023-07-26 16:54:00,Debit,Fort Worth,D000159,42.61.10.112,M040,ATM,34,Engineer,50,1,4471.05,2024-11-04 08:07:00,16,Wednesday,11199.216666666667,6,0.03074428953164656,6,6,0,Legitimate,Low Risk
TX002152,AC00012,927.45,2023-08-07 18:52:00,Debit,Austin,D000210,176.96.83.253,M027,ATM,24,Student,95,1,1161.84,2024-11-04 08:07:00,18,Monday,10909.25,6,0.7975731828970453,6,6,1,Fraud,High Risk (Flagged)
TX001510,AC00012,308.8,2023-12-26 16:08:00,Debit,Baltimore,D000256,65.164.3.100,M018,ATM,53,Retired,41,1,3966.54,2024-11-04 08:09:00,16,Tuesday,7528.016666666666,6,0.0778316034620949,6,6,0,Legitimate,Low Risk
TX000576,AC00013,33.46,2023-02-20 16:52:00,Debit,Seattle,D000617,189.248.139.91,M003,ATM,72,Retired,111,1,3641.07,2024-11-04 08:09:00,16,Monday,14943.283333333333,8,0.009187083169735892,8,7,0,Legitimate,Low Risk
TX001291,AC00013,427.69,2023-03-28 16:02:00,Debit,Raleigh,D000347,24.148.92.177,M088,ATM,43,Engineer,236,1,2443.54,2024-11-04 08:11:00,16,Tuesday,14080.15,8,0.17495725167107104,8,7,0,Legitimate,Medium Risk
TX001010,AC00013,75.04,2023-07-27 17:04:00,Debit,El Paso,D000037,52.1.78.30,M056,ATM,49,Engineer,178,1,9648.6,2024-11-04 08:07:00,17,Thursday,11175.05,8,0.0077764881445863045,8,7,0,Legitimate,Low Risk
TX002156,AC00013,172.92,2023-08-28 16:56:00,Debit,Miami,D000519,214.67.148.245,M052,Online,20,Student,212,1,416.37,2024-11-04 08:08:00,16,Monday,10407.2,8,0.41430864700385744,8,7,0,Legitimate,Medium Risk
TX000107,AC00013,114.98,2023-11-01 16:52:00,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,2024-11-04 08:09:00,16,Wednesday,8847.283333333333,8,0.018709076945106155,8,7,0,Legitimate,Low Risk
TX001980,AC00013,422.81,2023-11-20 16:07:00,Debit,Los Angeles,D000050,77.92.193.22,M036,Branch,28,Student,193,1,1929.28,2024-11-04 08:10:00,16,Monday,8392.05,8,0.21904076092587604,8,7,0,Legitimate,Medium Risk
TX000780,AC00013,138.11,2023-12-11 17:29:00,Credit,Phoenix,D000227,20.147.6.179,M001,Online,68,Retired,104,1,4177.65,2024-11-04 08:07:00,17,Monday,7886.633333333333,8,0.033051344333696296,8,7,0,Legitimate,Low Risk
TX000578,AC00013,246.27,2023-12-27 16:48:00,Debit,Fresno,D000102,144.91.150.133,M058,Online,29,Doctor,141,1,7299.86,2024-11-04 08:10:00,16,Wednesday,7503.366666666667,8,0.03373164257361462,8,7,0,Legitimate,Low Risk
TX002447,AC00014,719.76,2023-03-30 17:50:00,Debit,San Francisco,D000548,161.25.82.11,M038,Branch,19,Student,190,1,690.52,2024-11-04 08:11:00,17,Thursday,14030.35,9,1.0408375751966683,9,9,0,Legitimate,Medium Risk
TX000375,AC00014,643.22,2023-05-03 17:04:00,Debit,Atlanta,D000248,175.166.115.182,M073,ATM,64,Doctor,93,1,1035.86,2024-11-04 08:07:00,17,Wednesday,13215.05,9,0.6203537603919527,9,9,0,Legitimate,Medium Risk
TX001234,AC00014,605.42,2023-06-13 16:10:00,Debit,Mesa,D000488,25.188.196.47,M085,ATM,21,Student,33,1,392.34,2024-11-04 08:09:00,16,Tuesday,12231.983333333334,9,1.5391773020796258,9,9,0,Legitimate,Medium Risk
TX000520,AC00014,121.91,2023-06-26 18:39:00,Debit,Chicago,D000264,135.29.211.116,M015,Branch,60,Doctor,133,1,14510.8,2024-11-04 08:08:00,18,Monday,11917.483333333334,9,0.008400749734698659,9,9,0,Legitimate,Low Risk
TX000080,AC00014,174.25,2023-07-17 18:54:00,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:00,18,Monday,11413.266666666666,9,0.016548995473600434,9,9,0,Legitimate,Low Risk
TX000657,AC00014,427.0,2023-07-31 17:04:00,Credit,Oklahoma City,D000629,183.39.94.209,M065,Branch,49,Engineer,163,1,8253.65,2024-11-04 08:07:00,17,Monday,11079.05,9,0.051728419739177314,9,9,0,Legitimate,Low Risk
TX000022,AC00014,85.77,2023-08-11 18:31:00,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:00,18,Friday,10813.616666666667,9,0.009376650096915008,9,9,0,Legitimate,Low Risk
TX002124,AC00014,10.3,2023-12-07 16:59:00,Debit,Fresno,D000494,150.231.20.169,M022,ATM,47,Engineer,197,1,7801.32,2024-11-04 08:10:00,16,Thursday,7983.183333333333,9,0.0013201201693855162,9,9,0,Legitimate,Low Risk
TX000740,AC00014,346.65,2024-01-01 16:17:00,Debit,Washington,D000077,43.98.242.106,M062,Online,30,Engineer,60,1,6356.96,2024-11-04 08:06:00,16,Monday,7383.816666666667,9,0.054522205235641615,9,9,0,Legitimate,Low Risk
TX001456,AC00015,774.48,2023-03-06 16:12:00,Debit,Louisville,D000233,76.136.92.235,M013,Branch,61,Doctor,31,1,11613.58,2024-11-04 08:08:00,16,Monday,14607.933333333332,4,0.0666817052360051,4,4,0,Legitimate,Low Risk
TX001467,AC00015,73.35,2023-03-13 16:33:00,Debit,San Francisco,D000340,9.230.41.239,M093,Branch,24,Student,47,1,1181.84,2024-11-04 08:09:00,16,Monday,14439.6,4,0.062011768286496904,4,4,0,Legitimate,Low Risk
TX001620,AC00015,50.9,2023-04-24 16:14:00,Credit,Jacksonville,D000549,131.41.45.13,M089,Online,28,Student,150,1,1277.7,2024-11-04 08:06:00,16,Monday,13431.866666666667,4,0.039806053022601075,4,4,0,Legitimate,Low Risk
TX001562,AC00015,250.01,2023-11-06 16:28:00,Debit,Kansas City,D000191,157.47.114.20,M057,ATM,62,Retired,88,1,1541.48,2024-11-04 08:12:00,16,Monday,8727.733333333334,4,0.1620831388413464,4,4,0,Legitimate,Medium Risk
TX001181,AC00016,50.0,2023-02-24 18:05:00,Credit,Jacksonville,D000309,150.231.20.169,M018,ATM,53,Doctor,87,1,185.87,2024-11-04 08:11:00,18,Friday,14846.1,6,0.26756568737625086,6,6,0,Legitimate,Medium Risk
TX002335,AC00016,1105.88,2023-03-06 17:37:00,Debit,Omaha,D000159,41.82.55.163,M047,ATM,34,Engineer,36,1,2636.32,2024-11-04 08:11:00,17,Monday,14606.566666666668,6,0.4193196123337327,6,6,0,Legitimate,Medium Risk
TX001135,AC00016,26.27,2023-03-17 16:22:00,Credit,Portland,D000332,62.27.235.199,M027,Online,45,Engineer,177,1,8853.93,2024-11-04 08:10:00,16,Friday,14343.8,6,0.002966708940669209,6,6,0,Legitimate,Low Risk
TX001592,AC00016,314.52,2023-03-20 17:21:00,Debit,Memphis,D000361,146.69.70.214,M057,ATM,80,Retired,229,1,7071.32,2024-11-04 08:06:00,17,Monday,14270.75,6,0.04447196959413601,6,6,0,Legitimate,Low Risk
TX001969,AC00016,705.34,2023-09-12 18:52:00,Debit,Washington,D000562,63.67.150.226,M026,Online,59,Doctor,124,1,5003.22,2024-11-04 08:12:00,18,Tuesday,10045.333333333334,6,0.14094903901107464,6,6,0,Legitimate,Low Risk
TX001542,AC00016,69.96,2023-10-16 17:43:00,Debit,Baltimore,D000397,184.146.10.88,M060,Branch,28,Student,31,1,164.12,2024-11-04 08:08:00,17,Monday,9230.416666666666,6,0.42369186046511625,6,6,0,Legitimate,Medium Risk
TX001864,AC00017,103.48,2023-01-30 16:04:00,Debit,Baltimore,D000640,1.98.25.114,M095,ATM,32,Engineer,33,1,6494.25,2024-11-04 08:09:00,16,Monday,15448.083333333334,5,0.015931642354027945,5,5,0,Legitimate,Low Risk
TX000952,AC00017,492.84,2023-03-01 17:43:00,Debit,Indianapolis,D000514,81.248.235.147,M081,ATM,25,Student,38,1,577.67,2024-11-04 08:09:00,17,Wednesday,14726.433333333332,5,0.8516771216755664,5,5,0,Legitimate,Medium Risk
TX001670,AC00017,261.63,2023-05-29 18:27:00,Debit,Chicago,D000622,77.7.223.184,M018,Branch,20,Student,150,1,477.03,2024-11-04 08:09:00,18,Monday,12589.7,5,0.547308746312993,5,5,0,Legitimate,Medium Risk
TX000971,AC00017,215.39,2023-06-21 16:23:00,Debit,Detroit,D000409,196.121.240.10,M019,ATM,27,Student,216,1,1582.55,2024-11-04 08:11:00,16,Wednesday,12039.8,5,0.13601717659688672,5,5,0,Legitimate,Low Risk
TX001337,AC00017,60.11,2023-11-27 17:39:00,Credit,Albuquerque,D000636,8.243.4.138,M067,Branch,61,Retired,122,1,7235.87,2024-11-04 08:08:00,17,Monday,8222.483333333334,5,0.008306077074757457,5,5,0,Legitimate,Low Risk
TX001498,AC00018,1228.81,2023-02-20 16:36:00,Debit,San Francisco,D000381,63.191.171.41,M034,ATM,26,Student,254,1,1821.0,2024-11-04 08:09:00,16,Monday,14943.55,3,0.6744291986827662,3,3,1,Fraud,High Risk (Flagged)
TX001802,AC00018,331.32,2023-06-05 17:24:00,Debit,Sacramento,D000334,200.164.13.160,M078,Branch,61,Doctor,137,5,13054.54,2024-11-04 08:07:00,17,Monday,12422.716666666667,3,0.02537773236495771,3,3,0,Legitimate,Medium Risk
TX000102,AC00018,98.54,2023-08-11 16:18:00,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,2024-11-04 08:10:00,16,Friday,10815.866666666667,3,0.010500371359794895,3,3,0,Legitimate,Low Risk
TX002086,AC00019,291.46,2023-02-08 16:29:00,Debit,Miami,D000665,149.84.108.18,M046,ATM,57,Retired,135,1,7142.53,2024-11-04 08:10:00,16,Wednesday,15231.683333333332,4,0.040800556587569446,4,4,0,Legitimate,Low Risk
TX001683,AC00019,41.13,2023-03-27 17:53:00,Credit,Philadelphia,D000655,109.42.41.157,M030,Branch,77,Retired,58,1,6067.54,2024-11-04 08:10:00,17,Monday,14102.283333333333,4,0.006777577473329664,4,4,0,Legitimate,Low Risk
TX002414,AC00019,489.31,2023-04-03 16:34:00,Debit,Louisville,D000293,156.235.3.171,M089,Branch,43,Engineer,36,1,5595.22,2024-11-04 08:12:00,16,Monday,13935.633333333333,4,0.08743580488258146,4,4,0,Legitimate,Low Risk
TX000003,AC00019,126.29,2023-07-10 18:16:00,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2024-11-04 08:07:00,18,Monday,11581.85,4,0.11242266435216096,4,4,0,Legitimate,Low Risk
TX001326,AC00020,359.65,2023-01-12 17:58:00,Credit,Jacksonville,D000133,45.64.74.86,M085,Online,25,Student,289,1,219.53,2024-11-04 08:09:00,17,Thursday,15878.183333333332,9,1.630843876116628,9,8,0,Legitimate,Medium Risk
